Theme,Tier,Bull_Pct,Bear_Pct,Trend,Fiedler,Fiedler_Change,Stocks,Status
겨울,4,13.636363636363637,86.36363636363636,-0.4990909090909091,1.610466133273253,0.4294532236257735,22,AVOID
日제품 불매운동(수혜),4,15.789473684210526,84.21052631578948,-0.7136842105263158,1.3553369403410294,0.5728015763596167,19,AVOID
리모델링/인테리어,4,12.5,83.33333333333333,-0.6041666666666666,1.0522108262046743,0.1575380160252176,24,AVOID
"백신/진단시약/방역(신종플루, AI 등)",4,15.217391304347826,80.43478260869566,-0.6043478260869565,2.218570459821228,0.2675484921005717,46,AVOID
음식료업종,4,18.840579710144926,79.71014492753623,-0.5895652173913044,4.359904248400194,1.0332418167835926,69,AVOID
국내 상장 중국기업,4,15.384615384615385,76.92307692307692,-0.6538461538461539,0.6431571007878287,0.1670528863813911,13,AVOID
"주류업(주정, 에탄올 등)",4,23.076923076923077,76.92307692307692,-0.64,1.3413987817978028,0.8356510107055746,13,AVOID
사료,4,20.0,75.0,-0.6070000000000001,0.8610258776395775,0.0824173771684744,20,AVOID
엠폭스(원숭이두창),4,20.0,75.0,-0.591,0.8115792481588652,0.0454630194853503,20,AVOID
아프리카 돼지열병(ASF),4,18.75,75.0,-0.5800000000000001,1.7400097553650429,0.3907140522442731,32,AVOID
렌터카,4,25.0,75.0,-0.395,0.8560999676181198,0.6898926994499995,4,AVOID
영상콘텐츠,4,19.35483870967742,74.19354838709677,-0.543225806451613,1.5658220758639714,0.1331491064286329,31,AVOID
구제역/광우병 수혜,4,22.727272727272727,72.72727272727273,-0.5863636363636364,1.5980719974510127,0.5985664886167427,22,AVOID
화장품,4,22.82608695652174,71.73913043478261,-0.48282608695652174,4.299606136584889,0.516601617538154,92,AVOID
김밥(냉동김밥 등),4,14.285714285714286,71.42857142857143,-0.6571428571428571,0.5488806897792958,0.0429166019302744,7,AVOID
NI(네트워크통합),4,28.571428571428573,71.42857142857143,-0.4714285714285714,1.0653990025578286,0.6986791882885215,7,AVOID
치매,4,16.363636363636363,70.9090909090909,-0.5047272727272727,2.737949468352922,0.4743891528044019,55,AVOID
여름,4,30.0,70.0,-0.48733333333333334,1.3747004242540184,0.034752806561985,30,AVOID
치아 치료(임플란트 등),4,23.076923076923077,69.23076923076923,-0.52,0.5031277825213509,0.0492644211996096,13,AVOID
코로나19(진단/치료제/백신 개발 등),4,17.94871794871795,69.23076923076923,-0.4923076923076923,4.244604036517744,0.8353411478900834,78,AVOID
화폐/금융자동화기기(디지털화폐 등),4,23.076923076923077,69.23076923076923,-0.3338461538461538,1.427036555382087,0.8611253798177647,13,AVOID
코로나19(치료제/백신 개발 등),4,21.875,68.75,-0.50625,1.3111195898407584,0.0480894931961826,32,AVOID
삼성페이,4,23.076923076923077,65.38461538461539,-0.37461538461538463,1.2330097918186729,0.0370226504580708,26,AVOID
종합 물류,4,35.294117647058826,64.70588235294117,-0.3270588235294118,1.2078804509568932,0.4485464164861139,17,AVOID
보톡스(보툴리눔톡신),4,21.428571428571427,64.28571428571429,-0.46857142857142847,0.9060050819907082,0.3048207675815718,14,AVOID
엔터테인먼트,4,25.0,64.28571428571429,-0.44214285714285717,1.287856990004509,0.1036772687022944,28,AVOID
철강 중소형,4,23.68421052631579,63.1578947368421,-0.4221052631578946,1.92785952391373,0.1377077058230229,38,AVOID
황사/미세먼지,4,33.333333333333336,62.96296296296296,-0.36370370370370364,1.316910000866928,0.0869468737669605,27,AVOID
의료기기,4,29.333333333333332,61.333333333333336,-0.3944,4.284324299860052,1.0221771314516728,75,AVOID
비만치료제,4,25.0,61.111111111111114,-0.3661111111111111,1.9386413192896512,0.3121643085948966,36,AVOID
모바일게임(스마트폰),4,17.94871794871795,58.97435897435897,-0.3825641025641025,2.111104743138978,0.5271142511773665,39,AVOID
웹툰,4,17.647058823529413,58.8235294117647,-0.4741176470588235,1.0355071689597246,0.2544739517002199,17,AVOID
게임,4,17.647058823529413,58.8235294117647,-0.38764705882352934,1.4527394332194294,0.0631248103413697,34,AVOID
줄기세포,4,26.31578947368421,57.89473684210526,-0.40210526315789474,0.7707049279470606,0.1132554551219178,19,AVOID
탈모 치료,4,25.925925925925927,55.55555555555556,-0.33925925925925926,0.9936088079772988,0.0435169733699681,27,AVOID
가상화폐(비트코인 등),4,20.689655172413794,55.172413793103445,-0.35793103448275865,1.3512792927983603,0.0639373570410777,29,AVOID
미용기기,4,33.333333333333336,53.333333333333336,-0.312,1.2699239688527932,0.5978195891531676,15,AVOID
뉴로모픽 반도체,4,16.666666666666668,50.0,-0.4433333333333334,1.0477825307288342,0.3461470813989959,6,AVOID
